Название книги,Имя автора,Издательство,Цена,Старая цена,Скидка
Тестирование программного обеспечения,Игнатьев Александр Владимирович,Лань:Компьютеры и программное обеспечение,742,Нету старой цены,Нету скидки
Разработка моделей предметной области автоматизации. Учебник для вузов,Котлинский Сергей Владимирович,Лань:Компьютеры и программное обеспечение,4 589,Нету старой цены,Нету скидки
Разработка моделей предметной области автоматизации. Учебник для СПО,Котлинский Сергей Владимирович,Лань:Компьютеры и программное обеспечение,4 151,Нету старой цены,Нету скидки
Проектирование человеко-машинного взаимодействия. Учебник для вузов,Игнатьев Александр Владимирович,Лань:Компьютеры и программное обеспечение,742,Нету старой цены,Нету скидки
Программные коллекции данных. Проектирование и реализация. Учебник,Романенко Татьяна Александровна,Лань:Компьютеры и программное обеспечение,2 404,Нету старой цены,Нету скидки
Программные коллекции данных. Проектирование и реализация. Учебное пособие для СПО,Романенко Татьяна Александровна,Лань:Компьютеры и программное обеспечение,2 404,Нету старой цены,Нету скидки
C# 9 и .NET 5. Разработка и оптимизация,Прайс Марк Дж.,Питер:Для профессионалов,3 545,4 545,22
Clojure на производстве,Гришаев Иван,ДМК-Пресс,1 676,2 793,40
Алгоритмы ГИС,Сяо Нинчуань,ДМК-Пресс,2 009,3 349,40
Изучаем SHINY,Уикем Хэдли,ДМК-Пресс,2 680,4 466,40
Программирование. Учебник,Иванова Галина Сергеевна,Кнорус:Бакалавриат,1 342,2 237,40
Анализ поведенческих данных на R и PYTHON,Бюиссон Флоран,ДМК-Пресс,2 512,4 187,40
Оптимизация запросов PostgreSQL,Домбровская Генриэтта и др.,ДМК-Пресс,1 758,2 930,40
Разработка беспилотных транспортных средств,Лю Шаошань и др.,ДМК-Пресс,1 841,3 069,40
Сети 6G. Путь от 5G к 6G глазами разработчиков,Тонг Вэнь и др.,ДМК-Пресс,3 350,5 583,40
Корпоративные информационные системы на базе решения Oracle E-Business Suite. Калькуляция затрат,"Васильева Елена Викторовна, Громова Алла Александровна",Прометей,646,1 076,40
Проектирование цифровых образовательных ресурсов,Коннова Лариса Петровна и др.,Прометей,1 210,2 016,40
Классические задачи Computer Science на языке Java,Копец Дэвид,Питер:Библиотека программиста,1 545,1 981,22
Информационное моделирование: методолгия использования цифровых моделей. Часть 1,Бачурина Светлана Самуиловна,ДМК-Пресс,837,1 395,40
Head First. Паттерны проектирования,Фримен Эрик и др.,Питер:Head First (O'Reilly),2 127,2 727,22
Web-программирование на JavaScript. Учебное пособие для СПО,Диков Андрей Валентинович,Лань:Компьютеры и программное обеспечение,1 901,Нету старой цены,Нету скидки
Автоматизация рутинных задач с помощью Python,Свейгарт Эл,Диалектика,3 227,5 378,40
Алгоритмы. Теория и практическое применение,Стивенс Род,Эксмо:Мировой компьютерный бестселлер,1 737,Нету старой цены,Нету скидки
Апокалипсис криптографии. Подготовка криптографии к квантовым вычислениям,Граймс Роджер А.,ДМК-Пресс,2 009,3 349,40
,,,0,Нету старой цены,Нету скидки
Паттерны программирования игр,Нистрем Роберт,Бомбора:Мировой компьютерный бестселлер,2 053,Нету старой цены,Нету скидки
React. Современные шаблоны для разработки приложений,"Бэнкс Алекс, Порселло Ева",Питер:Бестселлеры O`Reilly,1 945,2 493,22
Как программировать на С++,"Дейтел Харви, Дейтел Пол Дж.",Бином,2 889,Нету старой цены,Нету скидки
JavaScript. Обработка событий на примерах. Учебное пособие,Янцев Валерий Викторович,Лань:Компьютеры и программное обеспечение,2 621,Нету старой цены,Нету скидки
ASP.NET CORE в действии,Лок Эндрю,ДМК-Пресс,3 434,5 723,40
Анализируем данные в Microsoft Power BI. Подготовка к экзамену DA-100,Маслюк Даниил,ДМК-Пресс,2 009,3 349,40
Программирование на PHP в примерах и задачах,Васильев Алексей,Эксмо-Пресс:Российский компьютерный бестселлер,1 322,Нету старой цены,Нету скидки
Статистический анализ экспериментальных данных в пакетах MathCAD и Excel. Учебное пособие для вузов,Воскобойников Юрий Евгеньевич,Лань:Компьютеры и программное обеспечение,3 157,Нету старой цены,Нету скидки
Инженерные расчеты. Книга-билингва. Учебное пособие,Очков Валерий Федорович и др.,Лань:Компьютеры и программное обеспечение,3 932,Нету старой цены,Нету скидки
Системы искусственного интеллекта. Моделирование нейронных сетей в системе MATLAB. Лабораторный пр.,"Романов Петр Сергеевич, Романова Ирина Петровна",Лань:Компьютеры и программное обеспечение,1 529,Нету старой цены,Нету скидки
JavaScript. Обработка событий на примерах. Учебное пособие для СПО,Янцев Валерий Викторович,Лань:Компьютеры и программное обеспечение,2 621,Нету старой цены,Нету скидки
Компьютерное моделирование автоматизации технологических процессов и производств. Практикум. СПО,Алексеев Владимир Анатольевич,Лань:Компьютеры и программное обеспечение,2 404,Нету старой цены,Нету скидки
Ghidra. Полное руководство,"Игл Крис, Нэнс Кара",ДМК-Пресс,3 518,5 863,40
Изучаем WinUI 3.0,Эшкрафт Элвин,ДМК-Пресс,1 676,2 793,40
Осваиваем Ethereum. Создание смарт-контрактов и децентрализованных приложений,"Антонопулос Андреас М., Вуд Гэвин",Бомбора:Мировой компьютерный бестселлер,2 846,Нету старой цены,Нету скидки
SQL за 10 минут,Форта Бен,Вильямс,1 613,2 688,40
,,,0,Нету старой цены,Нету скидки
Облачные архитектуры. Разработка устойчивых и экономичных облачных приложений,Лащевски Том и др.,Питер:Библиотека программиста,1 560,2 000,22
Программируем на C# 8.0. Разработка приложений,Гриффитс Иэн,Питер:Бестселлеры O`Reilly,4 099,5 255,22
C# 9.0. Справочник. Полное описание языка,Албахари Джозеф,Диалектика,5 699,9 498,40
Изучаем квантовые вычисления на Python и Q#,"Кайзер Сара, Гранад Кристофер",ДМК-Пресс,2 345,3 908,40
"Системы автоматического управления: теория, применение, моделирование в MATLAB. Учебное пособие",Ощепков Александр Юрьевич,Лань:Учебники для вузов. Специальная литература,2 780,Нету старой цены,Нету скидки
Коды с суммированием для систем технического диагностирования. В 2-х томах,Сапожников Валерий Владимирович и др.,Наука,1 274,2 123,40
Основы тестирования программного обеспечения. Учебное пособие для СПО,Старолетов Сергей Михайлович,Лань:Компьютеры и программное обеспечение,2 864,Нету старой цены,Нету скидки
"Гид по Computer Science, расширенное издание",Спрингер Вильям,Питер:Библиотека программиста,1 185,1 519,22
"Computer Science. Основы программирования на Java, ООП, алгоритмы и структуры данных","Седжвик Роберт, Уэйн Кевин",Питер,2 681,3 437,22
Разработка конвейеров машинного обучения. Автоматизация жизненных циклов модели с помощью TensorFlow,"Ханнес Хапке, Нельсон Кэтрин",ДМК-Пресс,1 758,2 930,40
Технология программирования. Проектирование. Комплексное тестирование. Программная документация,Иванова Галина Сергеевна,Кнорус:Бакалавриат,1 219,2 032,40
"Безопасность веб-приложений. Разведка, защита, нападение",Хоффман Эндрю,Питер:Бестселлеры O`Reilly,2 521,3 232,22
Распределенные данные. Алгоритмы работы современных систем хранения информации,Петров Алекс,Питер:Бестселлеры O`Reilly,2 731,3 501,22
Безопасно by Design,Берг Джонсон Дэн и др.,Питер:Библиотека программиста,2 213,2 837,22
Пакет прикладных программ. Учебное пособие,Шитов Виктор Николаевич,ИНФРА-М:Среднее профессиональное образование,2 428,4 046,40
Программирование в САПР. Пространственное моделирование колонного аппарата в среде Autodesk Inventor,Лянг Виктор Федорович,ИНФРА-М:Высшее образование. Бакалавриат,1 597,2 662,40
Искусство тестирования на проникновение в сеть,Дэвис Ройс,ДМК-Пресс,1 841,3 069,40
Построение пользовательских интерфейсов,Малышев Кирилл Викторович,ДМК-Пресс,1 841,3 069,40
Data Science для карьериста,"Нолис Жаклин, Робинсон Эмили",Питер:Библиотека программиста,2 459,3 152,22
"Экстремальный Cи. Параллелизм, ООП и продвинутые возможности",Амини Камран,Питер:Для профессионалов,3 105,3 981,22
Программная инженерия. Учебное пособие,Маран Михкель Михкелевич,Лань:Учебники для вузов. Специальная литература,2 966,Нету старой цены,Нету скидки
Системы искусственного интеллекта. Учебное пособие,Бураков Михаил Владимирович,Проспект,775,1 193,35
Алгоритмы обработки текста. 125 задач с решениями,Крошемор Максим и др.,ДМК-Пресс,1 676,2 793,40
Аналитика в Power BI с помощью R и Python,Уэйд Райан,ДМК-Пресс,2 512,4 187,40
Программирование. Введение в профессию. Том 2. Системы и сети,Столяров Андрей Викторович,ДМК-Пресс,2 848,4 746,40
Программирование. Введение в профессию. Том 3. Парадигмы,Столяров Андрей Викторович,ДМК-Пресс,2 848,4 746,40
C#. Алгоритмы и структуры данных. Учебное пособие для вузов,"Тюкачев Николай Аркадиевич, Хлебостроев Виктор Григорьевич",Лань:Компьютеры и программное обеспечение,5 183,Нету старой цены,Нету скидки
"Python, например",Лейси Никола,Питер:Библиотека программиста,1 589,2 037,22
"Изучаем SQL. Генерация, выборка и обработка данных",Болье Алан,Диалектика,3 227,5 378,40
Знакомство с программированием на языке Processing,"Риас Кейси, Фрай Бен",ДМК-Пресс,1 256,2 093,40
Принятие решений и феномен неопределенности. Учебное пособие,Клименко Игорь Семенович,Лань:Компьютеры и программное обеспечение,2 277,Нету старой цены,Нету скидки
C#. Основы программирования (+CD). Учебное пособие для СПО,"Тюкачев Николай Аркадиевич, Хлебостроев Виктор Григорьевич",Лань:Компьютеры и программное обеспечение,3 345,Нету старой цены,Нету скидки
JavaScript для глубокого обучения. TensorFlow.js,Шолле Франсуа и др.,Питер:Библиотека программиста,3 545,4 545,22
Введение в язык Си++,Столяров Андрей Викторович,ДМК-Пресс,1 004,1 674,40
Оформление программного кода,Столяров Андрей Викторович,ДМК-Пресс,837,1 395,40
"Профессиональное программирование на ассемблере x64 с расширениями AVX, AVX2 и AVX-512",Куссвюрм Даниэль,ДМК-Пресс,3 016,5 026,40
Те же 10 вопросов через 20 лет. Офис и компьютер,Проскурин Сергей Павлович,Деловой двор,268,343,22
Программирование. Введение в профессию. Том 1. Азы программирования,Столяров Андрей Викторович,ДМК-Пресс,2 848,4 746,40
Имитационное моделирование процессов и систем в АПК. Учебное пособие,"Худякова Елена Викторовна, Липатов Алексей Александрович",Колос:Учебники и учебные пособия для студентов вузов,2 107,3 512,40
ВОСХОД программиста,Земцов А. Н.,Деловой двор:Хочу в СССР,955,1 224,22
JavaScript с нуля,Чиннатамби Кирупа,Питер:Библиотека программиста,1 545,1 981,22
Наглядный CSS,Сидельников Грег,Питер:Библиотека программиста,1 404,1 800,22
Основы разработки iOS-приложений на C# с помощью Xamarin. Учебное пособие для вузов,Умрихин Евгений Дмитриевич,Лань:Компьютеры и программное обеспечение,3 440,Нету старой цены,Нету скидки
Основы разработки iOS-приложений на C# с помощью Xamarin.СПО,Умрихин Евгений Дмитриевич,Лань:Компьютеры и программное обеспечение,3 279,Нету старой цены,Нету скидки
