Название книги,Имя автора,Издательство,Цена,Старая цена,Скидка
Прогнозирование. Принципы и практика,"Хайндман Роб, Атанасопулос Джордж",ДМК-Пресс,3 016,5 026,40
Прикладные нейро-нечеткие вычислительные системы и устройства,Бобырь Максим Владимирович и др.,ИНФРА-М:Научная мысль,1 936,3 226,40
"Красивый C++. 30 главных правил чистого, безопасного и быстрого кода","Дэвидсон Дж. Гай, Грегори Кейт",Питер:Для профессионалов,2 823,3 619,22
Глубокое обучение с R и KERAS,Шолле Франсуа,ДМК-Пресс,3 350,5 583,40
Power BI. Передовые методы оптимизации,Мерчант Бхавик,ДМК-Пресс,2 345,3 908,40
"Разработка веб-приложений GraphQL с React, Node.js и Neo4j",Лион Уильям,ДМК-Пресс,2 512,4 187,40
Основы алгоритмизации и программирования на Python. Учебное пособие,Гуриков Сергей Ростиславович,ИНФРА-М:Высшее образование. Бакалавриат,3 210,5 350,40
Unity в действии. Мультиплатформенная разработка на C#,Хокинг Джозеф,Питер:Для профессионалов,2 070,2 654,22
Объекты. Стильное ООП,Нобак Маттиас,Питер:Библиотека программиста,2 114,2 710,22
Kafka Streams и ksqlDB. Данные в реальном времени,Сеймур Митч,Питер:Библиотека программиста,2 397,3 073,22
Алгоритмы на практике. Решение реальных задач,Зингаро Даниэль,Питер:Библиотека программиста,2 057,2 637,22
Современная программная инженерия. ПО в эпоху эджайла и непрерывного развертывания,Фарли Дэвид,Питер:Для профессионалов,2 340,3 000,22
,,,0,Нету старой цены,Нету скидки
Внутри Cpython. Гид по интерпретатору Python,Шоу Энтони,Питер:Библиотека программиста,1 972,2 528,22
"40 алгоритмов, которые должен знать каждый программист на Python",Ахмад Имран,Питер:Библиотека программиста,1 951,2 501,22
Грокаем функциональное мышление,Норманд Эрик,Питер:Библиотека программиста,2 552,3 272,22
Основы Python для Data Science,Берман Кеннеди,Питер:Библиотека программиста,2 114,2 710,22
Фундаментальные основы хакерства. Анализ программ в среде Win64,"Касперски Крис, Язев Юрий Евгеньевич",Солон-пресс:Программирование,3 184,5 307,40
Основы компьютерного моделирования и визуализации + Электронное приложение,Борзяк Андрей Александрович и др.,Лань:Компьютеры и программное обеспечение,6 183,Нету старой цены,Нету скидки
UX/UI дизайн для создания идеального продукта. Полный и исчерпывающий гид,Шуваев Ярослав Александрович,Бомбора:Библиотека цифровой трансформации,1 670,Нету старой цены,Нету скидки
Грокаем алгоритмы искусственного интеллекта,Харбанс Ришал,Питер:Библиотека программиста,1 731,2 219,22
Сделай видеоигру один и не свихнись,Грис Слава,АСТ:Видеоигры: глубокое погружение,669,916,27
Программирование в Unreal Engine 5 для начинающего игродела. Основы визуального языка Blueprint,"Максименкова Ольга Вениаминовна, Веселко Никита И.",Бомбора:Российский компьютерный бестселлер,2 551,Нету старой цены,Нету скидки
