Название книги,Имя автора,Издательство,Цена,Старая цена,Скидка
SCALA для нетерпеливых,Хостманн Кей,ДМК-Пресс:Функциональное программирование,1 508,2 513,40
Обучение с подкреплением,"Саттон Ричард С., Барто Эндрю Г.",ДМК-Пресс,3 853,6 421,40
Рекомендательные системы на практике,Фальк Ким,ДМК-Пресс,1 676,2 793,40
Flutter на практике. Прокачиваем навыки мобильной разработки с помощью открыт. фреймворка от Googlе,Заметти Франк,ДМК-Пресс,2 177,3 628,40
Java Concurrency на практике,Гетц Брайан и др.,Питер:Для профессионалов,1 841,2 360,22
C# 8.0. Карманный справочник,"Албахари Джозеф, Албахари Бен",Диалектика,1 291,2 152,40
Нейронные сети и глубокое обучение. Учебный курс,Аггарвал Чару,Вильямс,4 840,8 066,40
"Разработка веб-приложений с помощью Node.js, MongoDB и Angular. Исчерпывающее руководство",Дейли Брэд и др.,Вильямс,4 086,6 810,40
Разработка игр на Unity 2018 за 24 часа,Гейг Майк,Бомбора:Мировой компьютерный бестселлер,2 427,Нету старой цены,Нету скидки
"R. Книга рецептов. Проверенные рецепты для статистики, анализа и визуализации","Лонг Дж. Д., Титор Пол",ДМК-Пресс,2 680,4 466,40
Графовые алгоритмы. Практическая реализация на платформах  Apache Spark и Neo4j,"Нидхем Марк, Ходлер Эми",ДМК-Пресс,1 841,3 069,40
Функциональное программирование на С++. Как сделать свои программы изящными с помощью технологии фун,Чукич Иван,ДМК-Пресс,2 177,3 628,40
Теория автоматического управления (с использованием MATLAB-SIMULINK). Практикум. Учебное пособие,Пащенко Федор Федорович и др.,Лань:Учебники для вузов. Специальная литература,2 404,Нету старой цены,Нету скидки
Python. Непрерывная интеграция и доставка,Ленц Мориц,ДМК-Пресс,1 256,2 093,40
Программирование GPU при помощи Python и CUDA. Исследуйте высокопроизводительные параллельные вычисл,Тоуманнен Бриан,ДМК-Пресс,1 508,2 513,40
Java. Библиотека профессионала. Том 2. Расширенные средства программирования,Хорстманн Кей С.,Вильямс,4 840,8 066,40
Изучаем Python. Том 2,Лутц Марк,Вильямс,4 086,6 810,40
Волшебство Kotlin,Симон Пьер-Ив,ДМК-Пресс,2 177,3 628,40
Методы и алгоритмы решения прикладных задач дискретной оптимизации. Учебное пособие,"Карпов Дмитрий Анатольевич, Струченков Валерий Иванович",Солон-пресс:Библиотека профессионала,671,1 118,40
Обработка естественного языка с TensorFlow,Ганегедара Тушан,ДМК-Пресс,2 680,4 466,40
Информационные системы и программирование. Администратор баз данных. Учебник,Логачев Максим Сергеевич,ИНФРА-М:Среднее профессиональное образование,2 613,4 355,40
Программное обеспечение компьютерных сетей. Учебное пособие,Исаченко Олег Вячеславович,ИНФРА-М:Среднее профессиональное образование,1 065,1 775,40
Моделирование химико-технологических процессов. Принципы применения пакетов компютерн. математики,"Гартман Томаш Николаевич, Клушин Дмитрий Витальевич",Лань:Учебники для вузов. Специальная литература,4 272,Нету старой цены,Нету скидки
Клиентские технологии веб-программирования: JavaScript и DOM,Диков Андрей Валентинович,Лань:Учебники для вузов. Специальная литература,1 769,Нету старой цены,Нету скидки
Алгоритмы. Вводный курс,Кормен Томас,Вильямс,1 613,2 688,40
Программирование встроенных систем на С++ 17. Создание универсальных и надежных встроенных решений,Пошевай Майа,ДМК-Пресс,2 177,3 628,40
ELIXIR в действии,Юрич Саша,ДМК-Пресс,2 009,3 349,40
Глубокое обучение для поисковых систем,Теофили Томмазо,ДМК-Пресс,1 676,2 793,40
Введение в программирование на языке Visual Basic for Applications (VBA). Учебное пособие,Гуриков Сергей Ростиславович,ИНФРА-М:Высшее образование. Бакалавриат,2 314,3 856,40
HTML и CSS. Разработка и дизайн веб-сайтов,Дакетт Джон,Эксмо:Мировой компьютерный бестселлер,2 551,Нету старой цены,Нету скидки
Байесовский анализ на Python,Мартин Освальдо,ДМК-Пресс,2 009,3 349,40
Состязательные сети. Проекты,Ахирвар Кайлаш,ДМК-Пресс,1 508,2 513,40
Основы программирования на языке С. Учебное пособие,"Дорогов Виктор Георгиевич, Дорогова Екатерина Георгиевна",Форум:Среднее профессиональное образование,1 629,2 715,40
,,,0,Нету старой цены,Нету скидки
Программирование на языке Си. Учебное пособие,"Кузин Александр Владимирович, Чумакова Екатерина Витальевна",Форум:Среднее профессиональное образование,1 436,2 393,40
Разработка мобильных приложений на C# для iOS и Android,Черников Вячеслав,ДМК-Пресс,1 340,2 233,40
NGINX. Книга рецептов. Продвинутые рецепты высокопроизводительной   балансировки нагрузки,Де Йонге Дерек,ДМК-Пресс,1 340,2 233,40
Как стать хакером,Притяну Эдриан,ДМК-Пресс,1 676,2 793,40
Шаблоны проектирования для облачной среды,Дэвис Корнелия,ДМК-Пресс,2 177,3 628,40
SQL для чайников,Тейлор Аллен Дж.,"Диалектика:Для ""чайников""",1 936,3 227,40
Введение в архитектуру программного обеспечения. Учебное пособие,Гагарина Лариса Геннадьевна и др.,Форум:Среднее профессиональное образование,2 371,3 952,40
Архитекторы интеллекта. Вся правда об искусственном интеллекте от его создателей,Форд Мартин,Питер:Библиотека программиста,1 248,1 600,22
Глубокое обучение и игра в го,"Памперла Макс, Фергюсон Кевин",ДМК-Пресс,2 177,3 628,40
Квантовые вычисления для настоящих айтишников,Бернхард Крис,Питер:Библиотека программиста,1 217,1 560,22
1400 задач по программированию,Златопольский Дмитрий Михайлович,ДМК-Пресс,669,1 115,40
Бессерверные приложения на JavaScipt,"Стоянович Слободан, Симович Александар",ДМК-Пресс,1 925,3 209,40
Head First. Kotlin,"Гриффитс Дэвид, Гриффитс Дон",Питер:Head First (O'Reilly),3 120,4 000,22
Программирование в среде Delphi. Создание проектов. Учебное пособие,Саблукова Наталья Геннадьевна,Лань:Учебники для вузов. Специальная литература,459,Нету старой цены,Нету скидки
,,,0,Нету старой цены,Нету скидки
Программирование в среде Delphi. Основные команды. Первые проекты,Саблукова Наталья Геннадьевна,Лань:Учебники для вузов. Специальная литература,744,Нету старой цены,Нету скидки
Основы алгоритмизации и программирования на языке Microsoft Visual Basic. Учебное пособие,Гуриков Сергей Ростиславович,ИНФРА-М:Среднее профессиональное образование,3 387,5 645,40
MATLAB 6.5 SP1/7/7 SP1/7 SP2 + Simulink 5/6. Инструменты искусственного интеллекта и биоинформатики,"Дьяконов Владимир Павлович, Круглов Владимир Васильевич",Солон-пресс:Библиотека профессионала,1 492,2 486,40
Компьютерный анализ и моделирование электрических цепей переменного тока в среде MATLAB,,Солон-пресс:Библиотека студента,308,513,40
Компьютерный анализ и моделирование электрических цепей переменного тока в среде MATLAB,,Солон-пресс:Библиотека студента,447,745,40
Компьютерный анализ и моделирование электрических цепей постоянного тока в среде MATLAB,,Солон-пресс:Библиотека студента,196,326,40
Компьютерный анализ и моделирование электрических цепей постоянного тока в среде MATLAB,,Солон-пресс:Библиотека студента,447,745,40
Компьютерный анализ четырехполюсников с помощью MATLAB,,Солон-пресс:Библиотека студента,642,1 070,40
Компьютерный анализ четырехполюсников с помощью MATLAB,,Солон-пресс:Библиотека студента,268,446,40
Компьютерный спектральный анализ сигналов с помощью MATLAB,,Солон-пресс:Библиотека студента,512,854,40
Компьютерный спектральный анализ сигналов с помощью MATLAB,,Солон-пресс:Библиотека студента,251,419,40
VHDL. Справочное пособие по основам языка,Бабак В. П. и др.,ДМК-Пресс:Программируемые системы,1 172,1 953,40
Глубокое обучение в биологии и медицине,Рамсундар Бхарат и др.,ДМК-Пресс,1 172,1 953,40
Программирование на языке высокого уровня. Программирование на языке Object Pascal. Учебное пособие,Немцова Тамара Игоревна и др.,Форум:Высшее образование: Бакалавриат,2 726,4 543,40
Математическое программирование. Учебное пособие,Ржевский Сергей Владимирович,Лань:Учебники для вузов. Специальная литература,3 932,Нету старой цены,Нету скидки
Практика нейросетевого моделирования. Учебное пособие,"Хливненко Любовь Владимировна, Пятакович Феликс Андреевич",Лань:Учебники для вузов. Специальная литература,2 579,Нету старой цены,Нету скидки
Python и анализ данных,Маккини Уэс,ДМК-Пресс,2 261,3 769,40
Алгоритмы эволюционной оптимизации,Саймон Дэн,ДМК-Пресс,3 350,5 583,40
Машинный интеллект. Очерки по теории машинного обучения и искусственного интеллекта,Шумский Сергей Александрович,РИОР:Наука и практика,2 468,4 113,40
C#. Программирование 2D и 3D векторной графики (+CD),"Тюкачев Николай Аркадиевич, Хлебостроев Виктор Григорьевич",Лань:Учебники для вузов. Специальная литература,3 037,Нету старой цены,Нету скидки
Клиентские технологии веб-дизайна. HTML5 и CSS3. Учебное пособие,Диков Андрей Валентинович,Лань:Учебники для вузов. Специальная литература,2 077,Нету старой цены,Нету скидки
Технология разработки программного обеспечения. Учебное пособие,Зубкова Татьяна Михайловна,Лань:Учебники для вузов. Специальная литература,3 279,Нету старой цены,Нету скидки
"Swift. Основы разработки приложений под iOS, iPadOS и macOS",Усов Василий,Питер:Библиотека программиста,1 338,1 716,22
Docker на практике,"Миллан Иан, Сейерс Эйдан Хобсон",ДМК-Пресс,2 680,4 466,40
Swift подробно,Чейрд Инт Вейн,ДМК-Пресс,2 680,4 466,40
Оптимизация программ на C++. Проверенные методы повышения производительности,Гантерот Курт,Диалектика,3 227,5 378,40
Компьютерное моделирование полупроводниковых систем в MatLab 6.0. Учебное пособие,Герман-Галкин Сергей Германович,Корона-Принт:Учебное пособие,337,562,40
Идиомы и паттерны проектирования в современном С++,Пикус Федор Г.,ДМК-Пресс,2 177,3 628,40
Изучаем Python. Том 1,Лутц Марк,Диалектика,4 086,6 810,40
Рефакторинг кода на JavaScript. Улучшение проекта существующего кода,Фаулер Мартин,Вильямс,4 840,8 066,40
Язык программирования Python: практикум. Учебное пособие,Жуков Роман Александрович,ИНФРА-М:Среднее профессиональное образование,1 597,2 662,40
Машинное обучение и безопасность. Защита систем с помощью данных и алгоритмов,"Чио Кларенс, Фримэн Дэвид",ДМК-Пресс,1 758,2 930,40
Разработка интеллектуальных систем. Введение в технологию машинного обучения,Хултен Джефф,ДМК-Пресс,1 508,2 513,40
Теория вероятностей и математическая статистика в среде MATLAB. Учебное пособие,Алибеков Игорь Юсупович,Лань:Учебники для вузов. Специальная литература,2 008,Нету старой цены,Нету скидки
Экстремальное программирование. Разработка через тестирование,Бек Кент,Питер:Библиотека программиста,1 206,1 546,22
Объектно-ориентированное программирование с примерами на C#. Учебное пособие,Хорев Павел Борисович,Форум:Среднее профессиональное образование,1 895,3 159,40
Применение пакета MATLAB для анализа резонансных явлений в электрических цепях. Учебно-мет. пособие,,Солон-пресс:Библиотека студента,308,513,40
Применение пакета MATLAB для анализа резонансных явлений в электрических цепях. Учебно-мет. пособие,,Солон-пресс:Библиотека студента,615,1 025,40
Программирование. Сборник задач. Учебное пособие,Архипов Олег Григорьевич и др.,Лань:Учебники для вузов. Специальная литература,2 889,Нету старой цены,Нету скидки
Python. Книга Рецептов,"Бизли Дэвид, Джонс Брайан К.",ДМК-Пресс,3 016,5 026,40
Глубокое обучение с подкреплением на Python. OpenAI Gym и TensorFlow для профи,Равичандиран Судхарсан,Питер:Библиотека программиста,1 483,1 901,22
Грокаем глубокое обучение,Траск Эндрю,Питер:Библиотека программиста,1 200,1 539,22
Практика реактивного программирования в SPRING 5,"Докука Олег, Лозинский Игорь",ДМК-Пресс,2 848,4 746,40
Нейросетевые методы в обработке естественного языка,Гольдберг Йоав,ДМК-Пресс,2 512,4 187,40
Предиктивное моделирование на практике,"Кун Макс, Джонсон Кьелл",Питер:Для профессионалов,2 731,3 501,22
Микросервисы. Паттерны разработки и рефакторинга,Ричардсон Крис,Питер:Библиотека программиста,2 128,2 728,22
,,,0,Нету старой цены,Нету скидки
Выразительный JavaScript. Современное веб-программирование,Хавербеке Марейн,Питер:Для профессионалов,2 197,2 817,22
"Системы счисления, алгоритмизация и программирование. Учебное пособие",Игнашева Елена Петровна,ИНФРА-М:Военное образование,1 678,2 796,40
Объектно-ориентированное программирование. Учебник,Барков Игорь Александрович,Лань:Учебники для вузов. Специальная литература,6 117,Нету старой цены,Нету скидки
Практическое введение в программную инженерию. Учебное пособие,Волк Владимир Константинович,Лань:Учебники для вузов. Специальная литература,2 778,Нету старой цены,Нету скидки
Проектирование цифровых устройств на ПЛИС. Учебное пособие,Ушенина Инна Владимировна,Лань:Учебники для вузов. Специальная литература,2 971,Нету старой цены,Нету скидки
Введение в технологии контейнеров и Kubernetes,Маркелов Андрей Александрович,ДМК-Пресс,1 340,2 233,40
Логическое проектирование и верификация систем на SystemVerilog,Дональд Томас,ДМК-Пресс,2 177,3 628,40
HTML5 и CSS3 для чайников,"Титтел Эд, Минник Крис","Диалектика:Для ""чайников""",1 936,3 227,40
C# для чайников,Мюллер Джон Пол и др.,"Диалектика:Для ""чайников""",2 474,4 123,40
Изучаем TypeScript 3,Розенталс Натан,ДМК-Пресс,2 345,3 908,40
Введение в веб-разработку на языке JavaScript. Учебное пособие,Государев Илья Борисович,Лань:Учебники для вузов. Специальная литература,2 240,Нету старой цены,Нету скидки
Программирование компьютерной графики,Боресков Алексей Викторович,ДМК-Пресс,1 758,2 930,40
Высокопроизводительный код на платформе .NET,Уотсон Бен,Питер:Для профессионалов,2 158,2 767,22
Совершенный алгоритм. Графовые алгоритмы и структуры данных,Рафгарден Тим,Питер:Библиотека программиста,1 416,1 815,22
{Вы не знаете JS} Асинхронная обработка и оптимизация,Симпсон Кайл,Питер:Бестселлеры O`Reilly,1 323,1 696,22
{Вы не знаете JS} Замыкания и объекты,Симпсон Кайл,Питер:Бестселлеры O`Reilly,1 323,1 696,22
,,,0,Нету старой цены,Нету скидки
Основы теории вейвлетов. Вейвлеты в Matlab,Смоленцев Николай Константинович,ДМК-Пресс:Все о вейвлетах,1 676,2 793,40
Изучаем React,Чиннатамби Кирупа,Бомбора:Мировой компьютерный бестселлер,1 928,Нету старой цены,Нету скидки
Python для чайников,Мюллер Джон Пол,"Диалектика:Для ""чайников""",1 936,3 227,40
Изучение сложных систем с помощью Python,Дауни Аллен Б.,ДМК-Пресс,1 258,2 096,40
Вероятностное программирование на Python. Байесовский вывод и алгоритмы,Дэвидсон-Пайлон Кэмерон,Питер:Библиотека программиста,1 925,2 468,22
JavaScript для чайников,"Минник Крис, Холланд Ева","Диалектика:Для ""чайников""",1 613,2 688,40
Легкий способ выучить Python 3,Шоу Зед А.,Бомбора:Мировой компьютерный бестселлер,1 206,Нету старой цены,Нету скидки
Jenkins 2. Приступаем к работе. Создайте свой конвейер развертывания для автоматизации следующего п.,Ластер Брент,ДМК-Пресс,3 184,5 306,40
Реактивное программирование на С++. Проектирование параллельных и асинхронных приложений с использов,"Пай Прасид, Абрахам Питер",ДМК-Пресс,1 508,2 513,40
Изображение квантовых процессов. Начальный курс квантовой теории и рассуждений на диаграммах,"Коке Боб, Киссинждер Алекс",ДМК-Пресс,3 770,6 283,40
Unreal Engine VR для разработчиков,Маккефри Митч,Бомбора:Мировой компьютерный бестселлер,1 670,Нету старой цены,Нету скидки
Язык программирования Python. Практикум. Учебное пособие,Жуков Роман Александрович,ИНФРА-М:Высшее образование. Бакалавриат,1 581,2 635,40
Django 2 в примерах,Меле Антонио,ДМК-Пресс,2 177,3 628,40
Глубокое обучение без математики. Том 1. Основы,Гласснер Эндрю,ДМК-Пресс,2 848,4 746,40
Программирование в среде Lazarus. Учебное пособие,Гуриков Сергей Ростиславович,Форум:Среднее профессиональное образование,3 173,5 288,40
Программирование и основы алгоритмизации.Теоретические основы и примеры реализации численных методов,"Затонский Андрей Владимирович, Бильфельд Николай Валентинович",РИОР:Высшее образование,1 081,1 801,40
Программное обеспечение компьютерных сетей и web-серверов. Учебное пособие,Лисьев Григорий Авенирович и др.,ИНФРА-М:Среднее профессиональное образование,1 052,1 753,40
Технологии параллельного программирования. Учебное пособие,"Лупин Сергей Андреевич, Посыпкин Михаил Анатольевич",Форум:Высшее образование,1 138,1 896,40
Глубокое обучение и TensorFlow для профессионалов. Математический подход к построению систем,Паттанаяк Сантану,Вильямс,2 474,4 123,40
Введение в анализ алгоритмов,Солтис Майкл,ДМК-Пресс,1 508,2 513,40
Практикум по решению задач на ЭВМ в среде Delphi. Учебное пособие,"Бунаков Павел Юрьевич, Лопатин А. К.",Форум:Среднее профессиональное образование,2 866,4 777,40
Анализ вредоносных программ,Монаппа К. А.,ДМК-Пресс,2 345,3 908,40
Java. Библиотека профессионала. Том 1. Основы,Хорстманн Кей С.,Диалектика,4 086,6 810,40
JavaScript. Карманный справочник,Флэнаган Дэвид,Диалектика,1 183,1 972,40
Искусство программирования. Том 3. Сортировка и поиск,Кнут Дональд Эрвин,Диалектика,5 699,9 498,40
Язык программирования C++. Краткий курс,Страуструп Бьярне,Диалектика,1 613,2 688,40
Численные методы и программирование. Учебное пособие,Колдаев Виктор Дмитриевич,Форум:Среднее профессиональное образование,2 435,4 059,40
Микросервисы и контейнеры Docker,Кочер Парминдер Сингх,ДМК-Пресс,1 676,2 793,40
Биометрическая защита. Обзор технологии,Суомалайнен Антти,ДМК-Пресс,250,417,40
Легкий способ выучить Java,Пейн Брайсон,Бомбора:Мировой компьютерный бестселлер,1 455,Нету старой цены,Нету скидки
Программирование в Erlang,"Томпсон Саймон, Чезарини Франческо",ДМК-Пресс:Функциональное программирование,1 676,2 793,40
Искусство программирования. Том 2. Получисленные алгоритмы,Кнут Дональд Эрвин,Диалектика,4 840,8 066,40
Искусственный интеллект для чайников,"Мюллер Джон Пол, Массарон Лука","Диалектика:Для ""чайников""",1 613,2 688,40
Современные технологии программирования. Разработка Windows-приложений на языке С#. Учебник. Том 2,Горелов Сергей Витальевич,Прометей,961,1 748,45
Компьютерное зрение. Теория и алгоритмы,Клетте Рейнхард,ДМК-Пресс,3 518,5 863,40
Java. Оптимизация программ. Практические методы повышения производительности приложений в JVM,Эванс Бенджамин и др.,Диалектика,4 086,6 810,40
CSS. Полный справочник. Визуальное форматирование веб-страниц,"Мейер Эрик, Уэйл Эстель",Диалектика,5 699,9 498,40
Искусство программирования на R. Погружение в большие данные,Мэтлофф Норман,Питер:Библиотека программиста,1 497,1 919,22
Алгоритмизация и программирование. Практикум. Учебное пособие,Андрианова Анастасия Александровна и др.,Лань:Учебники для вузов. Специальная литература,2 382,Нету старой цены,Нету скидки
Структуры и алгоритмы обработки данных. Линейные структуры. Учебное пособие,Апанасевич Сергей Александрович,Лань:Учебники для вузов. Специальная литература,1 857,Нету старой цены,Нету скидки
Самоучитель игры на Паскале. ABC и немного Турбо,Комлев Николай Юрьевич,Солон-пресс:Библиотека студента,888,1 480,40
Алгоритмические трюки для программистов,Уоррен Генри С.,Диалектика,3 227,5 378,40
Unity и C#. Геймдев от идеи до реализации,Бонд Джереми Гибсон,Питер:Для профессионалов,3 226,4 136,22
PostgreSQL 11. Мастерство разработки,Шениг Ганс-Юрген,ДМК-Пресс,2 261,3 769,40
,,,0,Нету старой цены,Нету скидки
Разработка АСУТП в среде WinCC. Учебное пособие,"Иванов Виктор Эдуардович, Чье Ен Ун",Инфра-Инженерия,1 573,2 621,40
Автоматизация программируемых сетей,Эделман Джейсон и др.,ДМК-Пресс,2 512,4 187,40
"Разработка бизнес-приложений на платформе ""1С:Предприятие"". Учебное пособие",Дадян Эдуард Григорьевич,ИНФРА-М:Высшее образование. Бакалавриат,2 258,3 764,40
Базовые средства программирования на Visual Basic в среде VisualStudio .NET. Учебное пособие,Шакин Виктор Николаевич,Форум:Среднее профессиональное образование,2 048,3 414,40
Прикладная обработка биомедицинских изображений в среде MATLAB. Учебное пособие,Федотов Александр Александрович,Лань:Учебники для вузов. Специальная литература,919,Нету старой цены,Нету скидки
"Изучаем HTML, XHTML и CSS","Робсон Элизабет, Фримен Эрик",Питер:Head First (O'Reilly),2 745,3 519,22
Изучаем pandas,"Хейдт Майкл, Груздев Артем Владимирович",ДМК-Пресс,3 184,5 306,40
Умные мобильные проекты с TensorFlow,Танг Джефф,ДМК-Пресс:Машинное обучение,1 676,2 793,40
Алгоритмы на Java,"Седжвик Роберт, Уэйн Кевин",Вильямс,6 451,10 752,40
C++. Полное руководство. Классическое издание,Шилдт Герберт,Вильямс,4 840,8 066,40
Spring 5 для профессионалов,Шефер Крис и др.,Вильямс,6 451,10 752,40
Искусственный интеллект с примерами на Python. Создание приложений искусственного интеллекта,Джоши Пратик,Вильямс,3 227,5 378,40
"Основы машинного обучения для аналитического прогнозирования. Алгоритмы, рабочие примеры",Келлехер Джон Д. и др.,Вильямс,4 086,6 810,40
Разработка SCADA-систем. Учебное пособие,Кангин Владимир Венедиктович и др.,Инфра-Инженерия,1 726,2 877,40
Прагматичный ИИ. Машинное обучение и облачные технологии,Гифт Ной,Питер:Для профессионалов,1 705,2 186,22
Внедрение Splunk 7,Миллер Джеймс,ДМК-Пресс,2 177,3 628,40
,,,0,Нету старой цены,Нету скидки
Java за 24 часа,Кейденхед Роджерс,Диалектика,1 613,2 688,40
Совершенный алгоритм. Основы,Рафгарден Тим,Питер:Библиотека программиста,1 349,1 730,22
Машинное обучение и TensorFlow,Шакла Нишант,Питер:Библиотека программиста,1 639,2 101,22
Современные технологии программирования: разработка Windows-приложений на языке С#. Том 1,Горелов Сергей Витальевич,Прометей,813,1 479,45
Mathematica 5/6/7. Полное руководство,Дьяконов Владимир Павлович,ДМК-Пресс:Математика и Matlab,1 508,2 513,40
Git для профессионального программиста,"Чакон Скотт, Страуб Бен",Питер:Библиотека программиста,1 724,2 210,22
Простой Python просто с нуля,Гаско Рик,Солон-пресс:Программирование,974,1 624,40
C++. Базовый курс,Шилдт Герберт,Вильямс,3 227,5 378,40
Моделирование объектов управления в MatLab. Учебное пособие,"Затонский Андрей Владимирович, Тугашова Лариса Геннадьевна",Лань:Учебники для вузов. Специальная литература,1 855,Нету старой цены,Нету скидки
Основы алгоритмизации и программирования (ОП.04). Практикум,Серкова Екатерина Геннадьевна,Феникс:Среднее профессиональное образование,148,593,75
Программирование на C# для начинающих. Особенности языка,Васильев Александр Николаевич,Бомбора:Российский компьютерный бестселлер,1 530,Нету старой цены,Нету скидки
"Компиляторы. Принципы, технологии и инструментарий",Ахо Альфред В. и др.,Диалектика,8 064,13 440,40
Архитектура вычислительных систем и Ассемблер,"Гагарина Лариса Геннадьевна, Кононова Александра Игоревна",Солон-пресс:Библиотека студента,922,1 537,40
Delphi. Программирование в примерах и задачах. Практикум: Учебное пособие,"Милорадов Константин Александрович, Эйдлина Галина Михайловна",РИОР:Высшее образование,1 008,1 680,40
Delphi. Программирование в примерах и задачах. Практикум. Учебное пособие,"Милорадов Константин Александрович, Эйдлина Галина Михайловна",РИОР:Среднее профессиональное образование,1 040,1 734,40
Java. Эффективное программирование,Блох Джошуа,Вильямс,4 086,6 810,40
"Создаем динамические веб-сайты с помощью PHP, MySQL, JavaScript, CSS и HTML5",Никсон Робин,Питер:Бестселлеры O`Reilly,2 766,3 546,22
Kubernetes в действии,Лукша Марко,ДМК-Пресс,2 680,4 466,40
Смарт-карты и информационная безопасность,"Мытник Константин Яковлевич, Панасенко Сергей Петрович",ДМК-Пресс:Безопасность и защита,1 676,2 793,40
Эффективный и современный С++. 42 рекомендации по использованию C++11 и C++14,Мейерс Скотт,Диалектика,3 227,5 378,40
Изучаем регулярные выражения,Форта Бен,Вильямс,1 291,2 152,40
Пользовательские истории. Гибкая разработка программного обеспечения,Кон Майк,Диалектика,3 227,5 378,40
Python. Экспресс-курс,Седер Наоми,Питер:Библиотека программиста,2 057,2 637,22
Архитектура компьютера,"Таненбаум Эндрю, Остин Т.",Питер:Классика computer science,2 268,2 908,22
Java. Руководство для начинающих,Шилдт Герберт,Диалектика,4 086,6 810,40
Алгоритмы. Построение и анализ,Кормен Томас и др.,Диалектика,9 678,16 130,40
Изучай Erlang во имя добра!,Хеберт Фред,ДМК-Пресс,2 345,3 908,40
Программируй на Haskell,Курт Уилл,ДМК-Пресс:Функциональное программирование,2 680,4 466,40
"Конфигурирование и моделирование в системе ""1С: Предприятие"". Учебник",Дадян Эдуард Григорьевич,ИНФРА-М:Высшее образование. Магистратура,3 032,5 054,40
Алгоритмы на C++,Седжвик Роберт,Вильямс,6 451,10 752,40
Python. Справочник. Полное описание языка,Мартелли Алекс и др.,Диалектика,4 086,6 810,40
Теоретический минимум по Big Data. Всё что нужно знать о больших данных,"Ын Анналин, Су Кеннет",Питер:Библиотека программиста,979,1 255,22
Основы программирования на языке Python,Златопольский Дмитрий Михайлович,ДМК-Пресс,1 004,1 674,40
Методы научных исследований в программной инженерии,Пантелеев Евгений Рафаилович,Лань:Учебники для вузов. Специальная литература,1 282,Нету старой цены,Нету скидки
Структуры данных в C#. Линейные и нелинейные динамические структуры. Учебное пособие,Симонова Елена Витальевна,Лань:Учебники для вузов. Специальная литература,1 672,Нету старой цены,Нету скидки
Программируем на Python,Доусон Майкл,Питер,1 415,1 814,22
HTML5. Карманный справочник,Роббинс Дженнифер,Вильямс,1 291,2 152,40
Искусство программирования. Том 4А. Комбинаторные алгоритмы. Часть 1,Кнут Дональд Эрвин,Вильямс,6 451,10 752,40
Практика программирования,"Керниган Брайан, Пайк Роб",Вильямс,2 474,4 123,40
Введение в системы баз данных,Дейт К. Дж.,Диалектика,6 451,10 752,40
Эволюционная архитектура. Поддержка непрерывных изменений,Форд Нил и др.,Питер:Бестселлеры O`Reilly,1 270,1 628,22
Unity в действии. Мультиплатформенная разработка на C#,Хокинг Джозеф,Питер:Для профессионалов,1 488,1 908,22
Решение задач на современном C++,Бансила Мариус,ДМК-Пресс,1 841,3 069,40
Философия Java,Эккель Брюс,Питер:Классика computer science,3 432,4 400,22
Грокаем алгоритмы. Иллюстрированное пособие для программистов и любопытствующих,Бхаргава Адитья,Питер:Библиотека программиста,1 030,1 320,22
Python для сложных задач. Наука о данных и машинное обучение,Плас Дж. Вандер,Питер:Бестселлеры O`Reilly,1 985,2 545,22
Разработка программных приложений в среде BlackBox. Учебное пособие,Болотнов Анатолий Миронович,Лань:Учебники для вузов. Специальная литература,1 660,Нету старой цены,Нету скидки
Технологии интеллектуального анализа данных. Учебное пособие,"Макшанов Андрей Владимирович, Журавлев Антон Евгеньевич",Лань:Учебники для вузов. Специальная литература,2 187,Нету старой цены,Нету скидки
Практическое введение в язык программирования Си. Учебное пособие,"Солдатенко Илья Сергеевич, Попов Иван Владимирович",Лань:Учебники для вузов. Специальная литература,1 618,Нету старой цены,Нету скидки
Осваиваем C++17 STL. Используйте компоненты стандартной библиотеки в C++17 STL в полной мере,О`Двайр Артур,ДМК-Пресс,2 009,3 349,40
Язык программирования C,"Керниган Брайан, Ритчи Деннис",Вильямс,1 936,3 227,40
Построение систем машинного обучения на языке Python,"Коэльо Луис Педро, Ричарт Вилли",ДМК-Пресс,1 172,1 953,40
Head First. Паттерны проектирования. Обновленное юбилейное издание,Фримен Эрик и др.,Питер:Head First (O'Reilly),1 888,2 421,22
